Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
2487;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;18;18;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2501;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;18;18;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2534;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2535;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2542;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2547;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2548;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2549;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2553;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;12;12;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2554;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2555;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2556;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2558;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2560;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;26;65;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2564;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;16;16;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2566;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;20;20;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2567;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;22;22;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2571;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;26;65;1;ZEBRA;KE;;COLIS 10KG;0.6;10.0;1080.0;108;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2573;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;24;24;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
2592;KAKUZI PLC;MAERSK;TAYMA EXPRESS;MOMBASA;ROTTERDAM;;30/07/2025;255295839_5;ML-KE0050334;MMAU1359999;Avocat;HASS;14;14;1;ZEBRA;KE;;COLIS 4KG;0.31;4.0;1104.0;276;1;;;;;26/06/2025;;;;;4049929945616 [For Cartons Marked OE];;;COOL CONTROL
